Vehicle ID,Stops,Total Daily Demand (kg),Est. Distance (km),Est. Time (min),,,,
0,14,6500,221.3,244.41,,,,
1,11,6497,170.8,210.45,,,dis_sum,9031.53
2,13,6451,155.14,181.32,,,,12.28571429
3,10,6397,150.37,173.43,,,,
4,12,6414,150.92,175.04,,,min,31.07
5,13,6453,195.48,206.98,,,max,221.3
6,13,6476,141.52,169.78,,,,
7,14,6500,149.72,170.47,,,avg,132.2928571
8,13,6365,138.28,157.82,,,,
9,12,6402,148.01,172.34,,,,
10,11,6477,130.75,149.54,,,,
11,12,6464,126.96,144.3,,,,
12,13,6446,123.51,142.48,,,,
13,12,6461,144.59,166.42,,,,
14,13,6449,152.4,179.66,,,,
15,15,6467,173.48,208.14,,,,
16,12,6411,134.97,161.75,,,,
17,11,6473,119.97,149.98,,,,
18,11,6489,125.17,134.21,,,,
19,14,6430,131.21,157.3,,,,
20,11,6464,130.37,149.35,,,,
21,11,6456,127.81,136.95,,,,
22,14,6372,118.03,136.47,,,,
23,13,6407,123.97,156.9,,,,
24,12,6381,117.61,156.59,,,,
25,10,6307,121.42,135.27,,,,
26,13,6480,123.49,145.38,,,,
27,14,6429,123.54,143.23,,,,
28,14,6496,135.06,146.45,,,,
29,11,6490,113.1,132.44,,,,
30,11,6497,104.7,127.81,,,,
31,13,6344,118.88,147.47,,,,
32,11,6468,103.8,112.72,,,,
33,11,6496,110.99,135.08,,,,
34,12,6405,113.62,138.66,,,,
35,11,6365,116.2,133.79,,,,
36,13,6498,149.94,168.53,,,,
37,14,6419,127.62,144.48,,,,
38,15,6466,127.74,161.59,,,,
39,11,6380,106.75,128.53,,,,
40,14,6458,137.13,173.92,,,,
41,14,6409,116.13,148.34,,,,
42,12,6478,116.1,149.9,,,,
43,10,6422,100.12,120.53,,,,
44,12,6499,107.54,150.62,,,,
45,12,6485,131.45,158.81,,,,
46,12,6450,106.34,129.68,,,,
47,15,6499,97.44,131.33,,,,
48,13,6360,99.98,127.69,,,,
49,12,6498,107.25,134.13,,,,
50,12,6411,90.63,112.81,,,,
51,12,6484,101.62,130.72,,,,
52,12,6469,98.88,126.33,,,,
53,16,6492,111.96,151.21,,,,
54,13,6468,85.88,110.69,,,,
55,12,6500,87.03,111.54,,,,
56,10,6499,86.32,111.13,,,,
57,9,6410,80.65,105.33,,,,
58,10,6345,114.94,122.88,,,,
59,15,6391,84.6,111.14,,,,
60,9,6478,81.28,104.87,,,,
61,15,6335,89.74,105.66,,,,
62,14,6469,95.45,132.46,,,,
63,13,6403,82.21,105.06,,,,
64,12,6410,111.11,150.8,,,,
65,15,6493,77.84,113.58,,,,
66,13,6424,65.13,89.73,,,,
67,14,6495,63.09,90.48,,,,
68,13,6478,72.98,90.89,,,,
69,10,6343,58.56,79.26,,,,
70,12,6377,56.74,78.41,,,,
71,11,6275,75.52,109.98,,,,
72,13,6277,66.21,93.2,,,,
73,13,6372,57.06,80.74,,,,
74,13,6481,63.08,93.33,,,,
75,12,6461,62.39,97.46,,,,
76,10,6492,61.38,90.82,,,,
77,10,6310,52.43,72.77,,,,
78,13,6463,61.07,90.82,,,,
79,11,5857,56.34,81.92,,,,
80,12,5905,44,66.24,,,,
81,11,6377,37.25,59.54,,,,
82,11,6190,31.07,50.23,,,,
83,11,5740,48.42,72.11,,,,
